region,actor,flood_scenario,flood_probability_reference,vulnerability_label,predicted_high_vulnerability_share,fail_share,survive_share,dominant_stress_risk_label,median_margin,median_cost_revenue_ratio,median_stressed_margin,median_stressed_cost_revenue_ratio,priority_label,priority_rank,priority_sort_score,priority_reason,recommended_action
Indramayu,Middlemen,High,0.5499976285304322,High Vulnerability,0.5625,0.8125,0.1875,Already Failed,-6617415.258776158,1.0874807510466988,-37599165.58640901,1.4137249763607085,Critical,5,0.9625,Flood=High; Vulnerability=High Vulnerability; FailShare=81%; Median C/R=1.09,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Karawang,Wholesaler,High,0.5499976285304322,High Vulnerability,0.5714285714285714,0.7857142857142857,0.2142857142857142,Already Failed,-3500000.0,1.018028350515464,-61495000.0,1.3234368556701033,Critical,5,0.9571428571428572,Flood=High; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.02,Prepare buffer stock and route contingency for bulk distribution.
Garut,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.9166666666666666,1.0,0.0,Already Failed,-6500000.0,1.3577741702741704,-15088129.763597876,1.5614402958152955,Critical,5,0.8833333333333333,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.36,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Garut,Retail,Medium,0.4999999437061118,High Vulnerability,0.9130434782608696,1.0,0.0,Already Failed,-2600000.0,1.7428571428571429,-3514999.999999999,2.004285714285714,Critical,5,0.8833333333333333,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.74,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Indramayu,Retail,Medium,0.4999999437061118,High Vulnerability,1.0,1.0,0.0,Already Failed,-3051000.0,2.1145,-3851025.0,2.431675,Critical,5,0.8833333333333333,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.11,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Karawang,Retail,Medium,0.4999999437061118,High Vulnerability,1.0,1.0,0.0,Already Failed,-3070000.0,2.023333333333333,-3958375.0,2.326833333333333,Critical,5,0.8833333333333333,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Karawang,Rice Miller,Medium,0.4999999437061118,High Vulnerability,0.7142857142857143,1.0,0.0,Already Failed,-5688835.470085483,1.0644027757500236,-18321895.405982904,1.224063192112527,Critical,5,0.8833333333333333,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.06,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity."
Subang,Retail,Medium,0.4999999437061118,High Vulnerability,0.9473684210526316,1.0,0.0,Already Failed,-2495000.0,1.7333333333333334,-3324999.999999999,1.9933333333333332,Critical,5,0.8833333333333333,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.73,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Tasikmalaya,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.7931034482758621,1.0,0.0,Already Failed,-7685346.798251651,1.2960858585858586,-13813500.0,1.4904987373737373,Critical,5,0.8833333333333333,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.30,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Tasikmalaya,Retail,Medium,0.4999999437061118,High Vulnerability,1.0,1.0,0.0,Already Failed,-3053750.0,2.017916666666667,-3961812.499999999,2.3206041666666666,Critical,5,0.8833333333333333,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Garut,Wholesaler,Medium,0.4999999437061118,High Vulnerability,0.72,0.88,0.12,Already Failed,-7000000.0,1.0795454545454546,-17602499.999999993,1.2414772727272725,Critical,5,0.8593333333333334,Flood=Medium; Vulnerability=High Vulnerability; FailShare=88%; Median C/R=1.08,Prepare buffer stock and route contingency for bulk distribution.
Karawang,Middlemen,High,0.5499976285304322,Medium Vulnerability,0.5,1.0,0.0,Critical Under High Stress,-1525000.0,1.017790404040404,-20517500.0,1.3231275252525252,Critical,5,0.8499999999999999,Flood=High; Vulnerability=Medium Vulnerability; FailShare=100%; Median C/R=1.02,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Karawang,Wholesaler,Medium,0.4999999437061118,High Vulnerability,0.5714285714285714,0.7857142857142857,0.2142857142857142,Already Failed,-3500000.0,1.018028350515464,-31322499.99999997,1.1707326030927834,Critical,5,0.8404761904761905,Flood=Medium; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.02,Prepare buffer stock and route contingency for bulk distribution.
Tasikmalaya,Rice Miller,High,0.5499976285304322,Medium Vulnerability,0.2758620689655172,0.9310344827586208,0.0689655172413793,Critical Under High Stress,2160000.0,0.929340335124856,-7285915.616999507,1.2081424356623132,Critical,5,0.8362068965517241,Flood=High; Vulnerability=Medium Vulnerability; FailShare=93%; Median C/R=0.93,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity."
Karawang,Middlemen,Medium,0.4999999437061118,Medium Vulnerability,0.5,1.0,0.0,Fails Under Scenario,-1525000.0,1.017790404040404,-8184999.999999998,1.1704589646464645,Critical,5,0.7333333333333334,Flood=Medium; Vulnerability=Medium Vulnerability; FailShare=100%; Median C/R=1.02,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Indramayu,Rice Miller,High,0.5499976285304322,Low Vulnerability,0.1176470588235294,0.8823529411764706,0.1176470588235294,Critical Under High Stress,21382891.73789168,0.8935617324505689,-46862640.74074084,1.1616302521857398,Critical,5,0.6764705882352942,Flood=High; Vulnerability=Low Vulnerability; FailShare=88%; Median C/R=0.89,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity."
Indramayu,Wholesaler,High,0.5499976285304322,Low Vulnerability,0.0,0.6875,0.3125,Critical Under High Stress,275500000.0,0.8271464646464646,-33850000.0,1.075290404040404,Critical,5,0.6375,Flood=High; Vulnerability=Low Vulnerability; FailShare=69%; Median C/R=0.83,Prepare buffer stock and route contingency for bulk distribution.
Garut,Rice Miller,High,0.5499976285304322,Low Vulnerability,0.4166666666666667,0.6666666666666666,0.3333333333333333,Already Failed,10700692.78252611,0.8343007229654195,-5242662.037037045,1.0845909398550453,Critical,5,0.6333333333333333,Flood=High; Vulnerability=Low Vulnerability; FailShare=67%; Median C/R=0.83,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity."
Indramayu,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.5625,0.625,0.375,Already Failed,-6617415.258776158,1.0874807510466988,-23106954.172592573,1.2506028637037037,High,4,0.8083333333333333,Flood=Medium; Vulnerability=High Vulnerability; FailShare=62%; Median C/R=1.09,Prepare contingency plan because many units fail under stress scenario.
Subang,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.4285714285714285,0.5714285714285714,0.4285714285714285,Already Failed,14840000.0,0.9223993288590604,-7614999.999999993,1.0607592281879192,High,4,0.7976190476190477,Flood=Medium; Vulnerability=High Vulnerability; FailShare=57%; Median C/R=0.92,Prepare contingency plan because many units fail under stress scenario.
Garut,Middlemen,Low,0.4500022590135356,High Vulnerability,0.9166666666666666,1.0,0.0,Already Failed,-6500000.0,1.3577741702741704,-9483057.06908212,1.425662878787879,High,4,0.7666666666666666,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.36,Prepare contingency plan because many units fail under stress scenario.
Indramayu,Retail,Low,0.4500022590135356,High Vulnerability,1.0,1.0,0.0,Already Failed,-3051000.0,2.1145,-3296050.0,2.220225,High,4,0.7666666666666666,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.11,Prepare contingency plan because many units fail under stress scenario.
Karawang,Retail,Low,0.4500022590135356,High Vulnerability,1.0,1.0,0.0,Already Failed,-3070000.0,2.023333333333333,-3373500.0,2.1245,High,4,0.7666666666666666,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02,Prepare contingency plan because many units fail under stress scenario.
Subang,Retail,Low,0.4500022590135356,High Vulnerability,0.9473684210526316,1.0,0.0,Already Failed,-2495000.0,1.7333333333333334,-2775000.0,1.82,High,4,0.7666666666666666,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.73,Prepare contingency plan because many units fail under stress scenario.
Tasikmalaya,Retail,Low,0.4500022590135356,High Vulnerability,1.0,1.0,0.0,Already Failed,-3053750.0,2.017916666666667,-3356437.5,2.1188125,High,4,0.7666666666666666,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02,Prepare contingency plan because many units fail under stress scenario.
Tasikmalaya,Middlemen,Low,0.4500022590135356,High Vulnerability,0.7931034482758621,0.9655172413793104,0.0344827586206896,Already Failed,-7685346.798251651,1.2960858585858586,-9879922.827632844,1.3608901515151517,High,4,0.7597701149425288,Flood=Low; Vulnerability=High Vulnerability; FailShare=97%; Median C/R=1.30,Prepare contingency plan because many units fail under stress scenario.
Garut,Retail,Low,0.4500022590135356,High Vulnerability,0.9130434782608696,0.9565217391304348,0.0434782608695652,Already Failed,-2600000.0,1.7428571428571429,-2905000.0,1.83,High,4,0.7579710144927536,Flood=Low; Vulnerability=High Vulnerability; FailShare=96%; Median C/R=1.74,Prepare contingency plan because many units fail under stress scenario.
Karawang,Rice Miller,Low,0.4500022590135356,High Vulnerability,0.7142857142857143,0.7857142857142857,0.2142857142857142,Already Failed,-5688835.470085483,1.0644027757500236,-9333034.935897443,1.1176229145375247,High,4,0.7238095238095238,Flood=Low; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.06,Prepare contingency plan because many units fail under stress scenario.
Karawang,Wholesaler,Low,0.4500022590135356,High Vulnerability,0.5714285714285714,0.7857142857142857,0.2142857142857142,Already Failed,-3500000.0,1.018028350515464,-12182500.0,1.068929768041237,High,4,0.7238095238095238,Flood=Low; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.02,Prepare contingency plan because many units fail under stress scenario.
Garut,Wholesaler,Low,0.4500022590135356,High Vulnerability,0.72,0.76,0.24,Already Failed,-7000000.0,1.0795454545454546,-11767500.0,1.1335227272727273,High,4,0.7186666666666667,Flood=Low; Vulnerability=High Vulnerability; FailShare=76%; Median C/R=1.08,Prepare contingency plan because many units fail under stress scenario.
Indramayu,Middlemen,Low,0.4500022590135356,High Vulnerability,0.5625,0.5625,0.4375,Already Failed,-6617415.258776158,1.0874807510466988,-10798286.02171497,1.1418547885990338,High,4,0.6791666666666667,Flood=Low; Vulnerability=High Vulnerability; FailShare=56%; Median C/R=1.09,Prepare contingency plan because many units fail under stress scenario.
Tasikmalaya,Rice Miller,Medium,0.4999999437061118,Medium Vulnerability,0.2758620689655172,0.6896551724137931,0.3103448275862069,Fails Under Scenario,2160000.0,0.929340335124856,-2880101.041133299,1.0687413853935843,High,4,0.671264367816092,Flood=Medium; Vulnerability=Medium Vulnerability; FailShare=69%; Median C/R=0.93,Prepare contingency plan because many units fail under stress scenario.
Karawang,Middlemen,Low,0.4500022590135356,Medium Vulnerability,0.5,0.5714285714285714,0.4285714285714285,Already Failed,-1525000.0,1.017790404040404,-2538750.0,1.0686799242424243,High,4,0.530952380952381,Flood=Low; Vulnerability=Medium Vulnerability; FailShare=57%; Median C/R=1.02,Prepare contingency plan because many units fail under stress scenario.
Indramayu,Rice Miller,Medium,0.4999999437061118,Low Vulnerability,0.1176470588235294,0.5294117647058824,0.4705882352941176,Fails Under Scenario,21382891.73789168,0.8935617324505689,-5237000.122319013,1.0275959923181543,High,4,0.4892156862745098,Flood=Medium; Vulnerability=Low Vulnerability; FailShare=53%; Median C/R=0.89,Prepare contingency plan because many units fail under stress scenario.
Subang,Middlemen,Low,0.4500022590135356,High Vulnerability,0.4285714285714285,0.4761904761904761,0.5238095238095238,Already Failed,14840000.0,0.9223993288590604,7505000.0,0.9685192953020134,Watchlist,3,0.6619047619047619,Flood=Low; Vulnerability=High Vulnerability; FailShare=48%; Median C/R=0.92,Watch financial feasibility and margin because vulnerability is high even when flood scenario is not high.
Subang,Rice Miller,High,0.5499976285304322,Low Vulnerability,0.1904761904761904,0.4285714285714285,0.5714285714285714,Survives Scenario,74124362.54852271,0.7525679967605681,8727182.69329232,0.9783383957887384,Moderate,2,0.5857142857142857,Flood=High; Vulnerability=Low Vulnerability; FailShare=43%; Median C/R=0.75,Monitor periodically and prepare support if flood-risk scenario escalates.
Garut,Farmer,High,0.5499976285304322,Low Vulnerability,0.2040816326530612,0.2959183673469387,0.7040816326530612,Survives Scenario,6111000.0,0.4172401236080481,4932000.0,0.5424121606904626,Moderate,2,0.5591836734693878,Flood=High; Vulnerability=Low Vulnerability; FailShare=30%; Median C/R=0.42,Monitor periodically and prepare support if flood-risk scenario escalates.
Subang,Wholesaler,High,0.5499976285304322,Low Vulnerability,0.1428571428571428,0.1904761904761904,0.8095238095238095,Survives Scenario,67800000.0,0.6228310502283105,34950000.0,0.8096803652968037,Moderate,2,0.5380952380952381,Flood=High; Vulnerability=Low Vulnerability; FailShare=19%; Median C/R=0.62,Monitor periodically and prepare support if flood-risk scenario escalates.
Indramayu,Farmer,High,0.5499976285304322,Low Vulnerability,0.0806451612903225,0.1774193548387097,0.8225806451612904,Survives Scenario,17616000.0,0.5641353823411899,9976200.0,0.733375997043547,Moderate,2,0.535483870967742,Flood=High; Vulnerability=Low Vulnerability; FailShare=18%; Median C/R=0.56,Monitor periodically and prepare support if flood-risk scenario escalates.
Subang,Farmer,High,0.5499976285304322,Low Vulnerability,0.0779220779220779,0.1688311688311688,0.8311688311688312,Survives Scenario,13120000.0,0.5085858585858586,7073800.0,0.6611616161616162,Moderate,2,0.5337662337662338,Flood=High; Vulnerability=Low Vulnerability; FailShare=17%; Median C/R=0.51,Monitor periodically and prepare support if flood-risk scenario escalates.
Karawang,Farmer,High,0.5499976285304322,Low Vulnerability,0.0943396226415094,0.0943396226415094,0.9056603773584906,Survives Scenario,44410000.0,0.4823529411764706,29353000.0,0.6270588235294118,Moderate,2,0.5188679245283019,Flood=High; Vulnerability=Low Vulnerability; FailShare=9%; Median C/R=0.48,Monitor periodically and prepare support if flood-risk scenario escalates.
Tasikmalaya,Farmer,High,0.5499976285304322,Low Vulnerability,0.0272727272727272,0.0909090909090909,0.9090909090909092,Survives Scenario,7013500.0,0.4203703703703704,5449575.0,0.5464814814814815,Moderate,2,0.5181818181818182,Flood=High; Vulnerability=Low Vulnerability; FailShare=9%; Median C/R=0.42,Monitor periodically and prepare support if flood-risk scenario escalates.
Tasikmalaya,Rice Miller,Low,0.4500022590135356,Medium Vulnerability,0.2758620689655172,0.4482758620689655,0.5517241379310345,Survives Scenario,2160000.0,0.929340335124856,1306000.0,0.975807351881099,Moderate,2,0.5063218390804598,Flood=Low; Vulnerability=Medium Vulnerability; FailShare=45%; Median C/R=0.93,Monitor periodically and prepare support if flood-risk scenario escalates.
Garut,Rice Miller,Medium,0.4999999437061118,Low Vulnerability,0.4166666666666667,0.4583333333333333,0.5416666666666666,Survives Scenario,10700692.78252611,0.8343007229654195,2831284.21598012,0.9594458314102324,Moderate,2,0.475,Flood=Medium; Vulnerability=Low Vulnerability; FailShare=46%; Median C/R=0.83,Monitor periodically and prepare support if flood-risk scenario escalates.
Garut,Rice Miller,Low,0.4500022590135356,Low Vulnerability,0.4166666666666667,0.4166666666666667,0.5833333333333334,Survives Scenario,10700692.78252611,0.8343007229654195,8315520.37111228,0.8760157591136906,Moderate,2,0.35,Flood=Low; Vulnerability=Low Vulnerability; FailShare=42%; Median C/R=0.83,Monitor periodically and prepare support if flood-risk scenario escalates.
Indramayu,Rice Miller,Low,0.4500022590135356,Low Vulnerability,0.1176470588235294,0.3529411764705882,0.6470588235294118,Borderline,21382891.73789168,0.8935617324505689,11720472.717187136,0.9382398190730976,Moderate,2,0.33725490196078434,Flood=Low; Vulnerability=Low Vulnerability; FailShare=35%; Median C/R=0.89,Monitor periodically and prepare support if flood-risk scenario escalates.
Garut,Farmer,Medium,0.4999999437061118,Low Vulnerability,0.2040816326530612,0.2346938775510204,0.7653061224489796,Survives Scenario,6111000.0,0.4172401236080481,5436000.0,0.4798261421492553,Routine,1,0.4302721088435374,Flood=Medium; Vulnerability=Low Vulnerability; FailShare=23%; Median C/R=0.42,Routine monitoring.
Subang,Rice Miller,Medium,0.4999999437061118,Low Vulnerability,0.1904761904761904,0.1904761904761904,0.8095238095238095,Survives Scenario,74124362.54852271,0.7525679967605681,47237714.62706944,0.8654531962746532,Routine,1,0.4214285714285714,Flood=Medium; Vulnerability=Low Vulnerability; FailShare=19%; Median C/R=0.75,Routine monitoring.
Subang,Wholesaler,Medium,0.4999999437061118,Low Vulnerability,0.1428571428571428,0.1428571428571428,0.8571428571428571,Survives Scenario,67800000.0,0.6228310502283105,52380000.00000001,0.716255707762557,Routine,1,0.4119047619047619,Flood=Medium; Vulnerability=Low Vulnerability; FailShare=14%; Median C/R=0.62,Routine monitoring.
Indramayu,Wholesaler,Medium,0.4999999437061118,Low Vulnerability,0.0,0.125,0.875,Survives Scenario,275500000.0,0.8271464646464646,77275000.00000012,0.9512184343434342,Routine,1,0.4083333333333333,Flood=Medium; Vulnerability=Low Vulnerability; FailShare=12%; Median C/R=0.83,Routine monitoring.
Subang,Farmer,Medium,0.4999999437061118,Low Vulnerability,0.0779220779220779,0.1168831168831168,0.8831168831168831,Survives Scenario,13120000.0,0.5085858585858586,10327625.0,0.5848737373737374,Routine,1,0.4067099567099567,Flood=Medium; Vulnerability=Low Vulnerability; FailShare=12%; Median C/R=0.51,Routine monitoring.
Indramayu,Farmer,Medium,0.4999999437061118,Low Vulnerability,0.0806451612903225,0.1129032258064516,0.8870967741935484,Survives Scenario,17616000.0,0.5641353823411899,14217500.000000004,0.6487556896923683,Routine,1,0.40591397849462363,Flood=Medium; Vulnerability=Low Vulnerability; FailShare=11%; Median C/R=0.56,Routine monitoring.
Karawang,Farmer,Medium,0.4999999437061118,Low Vulnerability,0.0943396226415094,0.0943396226415094,0.9056603773584906,Survives Scenario,44410000.0,0.4823529411764706,38711500.0,0.5547058823529412,Routine,1,0.4022012578616352,Flood=Medium; Vulnerability=Low Vulnerability; FailShare=9%; Median C/R=0.48,Routine monitoring.
Tasikmalaya,Farmer,Medium,0.4999999437061118,Low Vulnerability,0.0272727272727272,0.0454545454545454,0.9545454545454546,Survives Scenario,7013500.0,0.4203703703703704,6344275.0,0.4834259259259258,Routine,1,0.3924242424242424,Flood=Medium; Vulnerability=Low Vulnerability; FailShare=5%; Median C/R=0.42,Routine monitoring.
Garut,Farmer,Low,0.4500022590135356,Low Vulnerability,0.2040816326530612,0.2142857142857142,0.7857142857142857,Survives Scenario,6111000.0,0.4172401236080481,5885225.0,0.4381021297884505,Routine,1,0.30952380952380953,Flood=Low; Vulnerability=Low Vulnerability; FailShare=21%; Median C/R=0.42,Routine monitoring.
Subang,Rice Miller,Low,0.4500022590135356,Low Vulnerability,0.1904761904761904,0.1904761904761904,0.8095238095238095,Survives Scenario,74124362.54852271,0.7525679967605681,65204858.74985224,0.7901963965985964,Routine,1,0.30476190476190473,Flood=Low; Vulnerability=Low Vulnerability; FailShare=19%; Median C/R=0.75,Routine monitoring.
Subang,Wholesaler,Low,0.4500022590135356,Low Vulnerability,0.1428571428571428,0.1428571428571428,0.8571428571428571,Survives Scenario,67800000.0,0.6228310502283105,66525000.0,0.653972602739726,Routine,1,0.29523809523809524,Flood=Low; Vulnerability=Low Vulnerability; FailShare=14%; Median C/R=0.62,Routine monitoring.
Indramayu,Farmer,Low,0.4500022590135356,Low Vulnerability,0.0806451612903225,0.0967741935483871,0.9032258064516128,Survives Scenario,17616000.0,0.5641353823411899,16919250.0,0.5923421514582494,Routine,1,0.2860215053763441,Flood=Low; Vulnerability=Low Vulnerability; FailShare=10%; Median C/R=0.56,Routine monitoring.
Karawang,Farmer,Low,0.4500022590135356,Low Vulnerability,0.0943396226415094,0.0943396226415094,0.9056603773584906,Survives Scenario,44410000.0,0.4823529411764706,42510500.0,0.5064705882352941,Routine,1,0.28553459119496855,Flood=Low; Vulnerability=Low Vulnerability; FailShare=9%; Median C/R=0.48,Routine monitoring.
Subang,Farmer,Low,0.4500022590135356,Low Vulnerability,0.0779220779220779,0.0909090909090909,0.9090909090909092,Survives Scenario,13120000.0,0.5085858585858586,12370500.0,0.5340151515151516,Routine,1,0.28484848484848485,Flood=Low; Vulnerability=Low Vulnerability; FailShare=9%; Median C/R=0.51,Routine monitoring.
Indramayu,Wholesaler,Low,0.4500022590135356,Low Vulnerability,0.0,0.0625,0.9375,Survives Scenario,275500000.0,0.8271464646464646,206775000.0,0.8685037878787878,Routine,1,0.2791666666666667,Flood=Low; Vulnerability=Low Vulnerability; FailShare=6%; Median C/R=0.83,Routine monitoring.
Tasikmalaya,Farmer,Low,0.4500022590135356,Low Vulnerability,0.0272727272727272,0.0272727272727272,0.9727272727272728,Survives Scenario,7013500.0,0.4203703703703704,6790425.0,0.4413888888888889,Routine,1,0.2721212121212121,Flood=Low; Vulnerability=Low Vulnerability; FailShare=3%; Median C/R=0.42,Routine monitoring.
